10001,2,3,2,0,2,2,2,1,1,3
10002,0,2,0,0,2,3,1,0,1,1
10003,2,1,1,0,2,1,3,3,3,2
10004,3,3,3,2,3,2,3,0,0,3
10005,3,3,3,1,3,1,3,2,2,3
10006,1,0,3,0,1,3,1,0,1,0
10007,2,1,1,0,2,2,1,1,1,2
10008,3,1,0,0,0,3,0,1,3,2
10009,3,3,2,1,3,3,3,1,3,3
10010,3,2,0,0,3,2,0,1,3,3
10011,0,3,0,0,2,1,1,1,1,1
10012,3,0,1,0,3,3,2,0,0,2
10013,1,0,0,0,0,2,0,0,0,0
10014,3,3,1,1,2,1,1,2,3,3
10015,2,3,3,1,2,3,3,3,3,3
10016,2,3,2,0,3,3,3,1,3,3
10017,3,3,1,0,3,3,3,3,2,3
10018,2,3,1,2,2,1,2,2,1,3
10019,2,0,1,0,1,1,1,1,2,2
10020,2,1,2,0,2,3,2,1,3,3
10021,2,1,0,0,2,0,3,3,2,3
10022,3,2,2,0,3,3,3,2,3,3
10023,2,3,2,0,2,1,3,1,3,3
10024,3,3,3,0,3,3,3,2,3,2
10025,2,0,2,0,2,2,2,3,1,3
10026,3,2,2,1,2,2,3,2,3,3
10027,1,3,0,0,3,1,2,2,2,2
10028,3,1,1,0,2,3,3,3,1,3
10029,2,1,1,0,1,1,3,1,2,3
10030,2,1,0,0,2,1,3,1,0,2
10031,3,2,2,1,2,2,2,3,2,3
10032,3,0,2,0,3,1,2,1,0,3
10033,2,1,0,1,1,2,2,3,1,0
10034,3,1,1,0,0,0,2,0,2,1
10035,3,1,1,0,2,3,2,2,3,2
10036,2,3,3,2,2,3,3,3,3,3
10037,1,2,0,0,2,2,0,2,0,2
10038,2,2,0,0,1,3,1,0,1,1
10039,3,3,0,2,2,2,3,2,1,3
10040,2,0,1,0,1,2,3,1,1,3
10041,2,1,1,1,2,2,3,3,1,0
10042,3,0,3,1,3,2,3,2,2,3
10043,0,0,1,0,0,3,1,2,2,3
10044,2,2,1,0,0,2,3,2,0,3
10045,2,0,0,0,1,0,2,0,2,1
10046,3,2,2,1,3,2,3,3,3,3
10047,0,0,1,0,0,0,0,1,2,1
10048,3,2,3,0,3,3,3,2,2,3
10049,3,1,1,0,3,2,3,0,3,2
10050,3,1,1,2,2,0,1,1,1,3
10051,2,1,2,0,1,3,0,1,1,1
10052,3,0,3,2,3,2,3,3,2,3
10053,2,0,0,0,2,3,2,2,2,3
10054,0,2,0,0,1,2,1,0,2,1
10055,1,2,3,0,3,2,2,1,3,1
10056,2,1,1,1,1,1,0,0,1,1
10057,1,0,0,0,0,1,0,0,2,1
10058,1,0,2,0,1,3,1,1,2,2
10059,2,2,1,0,1,3,2,0,3,2
10060,2,0,1,0,2,1,1,0,0,1
10061,1,1,0,0,3,1,0,0,0,0
10062,2,2,2,0,3,3,2,1,3,0
10063,3,3,2,2,3,3,3,1,3,3
10064,2,3,1,1,1,2,2,2,3,2
10065,1,0,1,0,2,1,3,2,3,1
10066,3,2,3,2,3,3,3,0,3,3
10067,1,1,0,0,2,3,3,0,1,2
10068,3,2,2,0,3,3,3,1,1,3
10069,3,0,0,0,0,2,2,1,1,0
10070,3,1,1,0,3,3,1,1,1,3
10071,1,1,0,0,2,0,3,0,1,2
10072,3,1,1,0,2,3,3,1,3,3
10073,3,2,2,0,2,3,3,2,2,1
